image,caption
2513260012_03d33305cf.jpg,startseq black dog is running after white dog in the snow endseq#startseq black dog chasing brown dog through snow endseq#startseq two dogs chase each other across the snowy ground endseq#startseq two dogs play together in the snow endseq#startseq two dogs running through low lying body of water endseq
2903617548_d3e38d7f88.jpg,startseq little baby plays endseq#startseq little girl plays next to truck endseq#startseq the child is playing by the truck endseq#startseq the kid is in front of car with put and ball endseq#startseq the little boy is playing with and ball beside the car endseq
3338291921_fe7ae0c8f8.jpg,startseq brown dog in the snow has something hot pink in its mouth endseq#startseq brown dog in the snow holding pink hat endseq#startseq brown dog is holding pink shirt in the snow endseq#startseq dog is carrying something pink in its mouth while walking through the snow endseq#startseq dog with something pink in its mouth is looking forward endseq
488416045_1c6d903fe0.jpg,startseq brown dog is running along beach endseq#startseq brown dog wearing black collar running across the beach endseq#startseq dog walks on the sand near the water endseq#startseq brown dog running on the beach endseq#startseq the large brown dog is running on the beach by the ocean endseq
2644326817_8f45080b87.jpg,startseq black and white dog with red frisbee standing on sandy beach endseq#startseq dog red disc on beach endseq#startseq dog with red frisbee flying in the air endseq#startseq dog catching red frisbee endseq#startseq the black dog is red disc on beach endseq
218342358_1755a9cce1.jpg,startseq cyclist wearing red helmet is riding on the pavement endseq#startseq girl is riding bike on the street while wearing red helmet endseq#startseq person on bike wearing red helmet riding down street endseq#startseq woman wears red helmet and blue shirt as she goes for bike ride in the shade endseq#startseq person in blue shirt and red helmet riding bike down the endseq
2501968935_02f2cd8079.jpg,startseq man dressed in purple shirt and red bandanna smiles at the people watching him endseq#startseq man on the street wearing leather and endseq#startseq man wearing purple shirt and black leather poses for the camera endseq#startseq man dressed in leather and purple shirt stands in front of onlookers endseq#startseq there is man in purple shirt leather and red bandanna standing near other men endseq
2699342860_5288e203ea.jpg,startseq boy wearing red tshirt is running through woodland endseq#startseq child runs near some trees endseq#startseq young boy is dancing around endseq#startseq young boy with red short shirt and jeans runs by some trees endseq#startseq the little boy in the red shirt stops to smile for the camera endseq
2638369467_8fc251595b.jpg,startseq girl in white dress endseq#startseq little girl in white is looking back at the camera while carrying water endseq#startseq smiling young girl in is playing ball endseq#startseq young girl wearing white looks at the camera as she plays endseq#startseq the girl is holding green ball endseq
2926786902_815a99a154.jpg,startseq skier in yellow jacket is airborne above the mountains endseq#startseq skier jumps high in the air with view of the mountains endseq#startseq skiing man in jacket jumps very high and it looks as though he is flying endseq#startseq is high in the air doing ski jump endseq#startseq the skier in the green jacket and white pants appears to almost fly into the sky endseq
2851304910_b5721199bc.jpg,startseq photographer looks over the hills endseq#startseq woman in red jacket is natural landscape endseq#startseq woman with camera looks out over rolling hills endseq#startseq woman with camera on tripod is looking at the view endseq#startseq lady in red shirt has her camera set up in the field to something endseq
3423802527_94bd2b23b0.jpg,startseq bunch of girls in cheerleader outfits endseq#startseq large group of cheerleaders walking in parade endseq#startseq cheerleaders perform endseq#startseq many cheerleaders wearing black walk down the street endseq#startseq parade of cheerleaders wearing black pink and white uniforms endseq
3356369156_074750c6cc.jpg,startseq blue boat with yellow is floating on waters endseq#startseq boat in the water endseq#startseq boat with roof on green water endseq#startseq the boat is in the middle of the water endseq#startseq the boat floats on the lake endseq
2294598473_40637b5c04.jpg,startseq dog catches frisbee in midair endseq#startseq dog catching frisbee endseq#startseq terrier catches frisbee in the air endseq#startseq white and black dog catching frisbee endseq#startseq white dog is leaping in the air with green object in its mouth endseq
1191338263_a4fa073154.jpg,startseq little old lady sitting next to an advertisement endseq#startseq an asian woman waiting at an train stop endseq#startseq an old woman sits in station next to advertisement endseq#startseq woman sits in subway station endseq#startseq woman with an umbrella is sitting at station with an on the wall endseq
2380765956_6313d8cae3.jpg,startseq blond girl wearing green jacket walks on trail along side metal fence endseq#startseq girl in green coat walks down rural road playing flute endseq#startseq young girl in parka playing flute while walking by fenced in field endseq#startseq girl in green and blue jacket walking past an enclosed field endseq#startseq girl playing flute as she walks by fence in rural area endseq
